,Time,Id,Name,Tweet
0,2022-08-30 09:03:24+00:00,1564539271918194688,AajTak,आज तक की संवाददाता गीता मोहन जा रही हैं कीलूँग पोर्ट और उन्होंने बात करी ताइवान के डिफेंस एक्सपर्ट से इसकी एहमियत… https://t.co/9TLHBpbdZz
1,2022-08-30 09:02:23+00:00,1564539016032034816,AajTak,"झारखंड में चार्टर्ड विमान से रायपुर जाएंगे महागठबंधन के विधायक, कांग्रेस ने बुक कराया
#ATVideo #Jharkhand… https://t.co/Ei3ldOWskc"
2,2022-08-30 08:58:23+00:00,1564538008606425088,AajTak,"बिहार के हालात की सबसे मारक तस्वीर..नाव पर सवार हुईं सीएम और डिप्टी सीएम की गाड़ियां

#ATVideo #Bihar https://t.co/NNtc7IYCP1"
3,2022-08-30 08:49:08+00:00,1564535678729617408,AajTak,सरकार दिसंबर तिमाही में इसके निजीकरण (Privatization) के लिए वित्तीय बोलियां आमंत्रित कर सकती है.  https://t.co/PMvqDeIJIJ
4,2022-08-30 08:48:48+00:00,1564535596668059648,AajTak,लगभग 75 साल की बदहाली के बाद अब गुरुद्वारा नानकसर (#GurdwaraNanaksar) का निर्माण कार्य दोबारा शुरू किया जा रहा है. … https://t.co/547prXKDWA
5,2022-08-30 08:48:06+00:00,1564535420255629312,AajTak,"असम सरकार ने 27 जिलों में रविवार को इंटरनेट सेवा बंद कर दी.  

#Assam 

https://t.co/bHMmvOPRFh"
6,2022-08-30 08:47:40+00:00,1564535310494875648,AajTak,"लड़की ने रेडियो पर आने वाले एक लाइव प्रोग्राम में कॉल किया....

#Viral

https://t.co/OK8PmPLXME"
7,2022-08-30 08:46:54+00:00,1564535116160208901,AajTak,"हाल ही में NCRB ने 2021 की रिपोर्ट जारी की है. इसके मुताबिक, पिछले साल देशभर में 60.96 लाख आपराधिक मामले दर्ज हुए… https://t.co/cCczwIFuYc"
8,2022-08-30 08:46:03+00:00,1564534903190200320,AajTak,केआरके को मंगलवार सुबह मलाड पुलिस ने एयरपोर्ट से गिरफ्तार किया था. अब इस मामले में नया अपडेट सामने आ गया है. … https://t.co/sdQtKkZ20L
9,2022-08-30 08:44:27+00:00,1564534501451382789,AajTak,झारखंड के दुमका में नाबालिग लड़की को जिंदा जलाकर मारने के मामले में AIMIM चीफ असदुद्दीन ओवैसी ने कहा कि नाबालिग को… https://t.co/F2vHUEIizh
10,2022-08-30 08:39:29+00:00,1564533253004206080,AajTak,महाराष्ट्र: चीफ मिनिस्टर एकनाथ शिंदे और देवेंद्र फडणवीस ने मुंबई मेट्रो 3 के ट्रायल रन को मंगलवार को हरी झंडी दिखाक… https://t.co/xmBef7Ax3l
11,2022-08-30 08:36:05+00:00,1564532396812570629,AajTak,सुप्रीम कोर्ट ने बाबरी मस्जिद के विध्वंस से जुड़े सभी मामलों को बंद कर दिया।  इसी विषय पर आज तक से चर्चा की मम कश्य… https://t.co/Y4DWU80tqt
12,2022-08-30 08:35:38+00:00,1564532284308725761,AajTak,"रूसी रियलिटी टीवी स्टार का नाम अनास्तासिया कोचेरवे है. वह रियलिटी डेटिंग शो Russian Dom-2 में नजर आई थीं. 

#Murder… https://t.co/QoIJb0jbjq"
13,2022-08-30 08:34:50+00:00,1564532080192929792,AajTak,सुप्रीम कोर्ट में दो-दो संविधान पीठ सुनवाई करेंगी. CJI जस्टिस यूयू ललित ने मामलों की सुनवाई की रूपरेखा तैयार कर ली… https://t.co/mYKLD8MIEC
14,2022-08-30 08:34:13+00:00,1564531924630392833,AajTak,"सोमवार को ताकतवर शिया मुस्लिम धर्मगुरु मुक्तदा अल-सदर ने राजनीति छोड़ने का ऐलान कर दिया.  

#Iraq 

https://t.co/Kim7XVTJTh"
15,2022-08-30 08:32:49+00:00,1564531574376255488,AajTak,देखिए 2 बजे की बड़ी खबरें  #ATLivestream  https://t.co/lSMghvGFJZ
16,2022-08-30 08:31:39+00:00,1564531278862397440,AajTak,"वाराणसी में बाढ़ का कहर, अंतिम संस्कार करना हुआ मुश्किल। देखिए @iSamarthS की ग्राउंड रिपोर्ट 
#ATVideo #Varanasi https://t.co/efz3oWsvKF"
17,2022-08-30 08:30:09+00:00,1564530904395313153,Delhi Traffic Police,"Modified silencer aur pressure horn ki dhun kisi ko sureeli nahi lagti, bilkul iss scene ki tarah..… https://t.co/r6Pctl5Ss4"
18,2022-08-30 08:29:24+00:00,1564530714615222272,AajTak,"झारखंड के CM बोले-घटनाएं होती रहती हैं, सरकार की सभी घटनाओं पर नज़र है 
#ATVideo #Dumka https://t.co/kH256L1bLI"
19,2022-08-30 08:25:48+00:00,1564529806540423168,Delhi Traffic Police,"Traffic Alert
As per IMD report,"" Thunderstorm with light to moderate intensity rain would occur over West, South-W… https://t.co/UdmsQY4QPE"
